,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
581,2022,Expert,Full-time,Machine Learning Engineer,129300,USD,129300,US,WFO,US,Medium
582,2022,Junior,Full-time,Machine Learning Engineer,45000,GBP,55734,GB,WFH,GB,Startup
583,2022,Expert,Full-time,Data Analyst,70000,GBP,86698,GB,WFO,GB,Medium
584,2022,Expert,Full-time,Data Analyst,50000,GBP,61927,GB,WFO,GB,Medium
585,2022,Expert,Full-time,Data Analyst,175000,USD,175000,US,WFH,US,Medium
586,2022,Expert,Full-time,Data Analyst,130000,USD,130000,US,WFH,US,Medium
587,2022,Expert,Full-time,Data Engineer,188100,USD,188100,US,WFO,US,Medium
588,2022,Expert,Full-time,Data Engineer,139860,USD,139860,US,WFO,US,Medium
589,2022,Expert,Full-time,Machine Learning Engineer,248700,USD,248700,US,WFO,US,Medium
590,2022,Expert,Full-time,Machine Learning Engineer,167100,USD,167100,US,WFO,US,Medium
591,2022,Intermediate,Full-time,Data Analyst,450000,INR,5772,IN,WFH,IN,Startup
592,2022,Expert,Full-time,Data Scientist,123400,USD,123400,US,WFO,US,Medium
593,2022,Expert,Full-time,Data Scientist,88100,USD,88100,US,WFO,US,Medium
594,2022,Intermediate,Full-time,BI Data Analyst,48000,EUR,50537,DE,WFH,DE,Startup
595,2022,Expert,Full-time,Data Scientist,245000,USD,245000,US,WFO,US,Medium
596,2022,Expert,Full-time,Data Scientist,205000,USD,205000,US,WFO,US,Medium
597,2022,Expert,Full-time,Data Engineer,141300,USD,141300,US,WFO,US,Medium
598,2022,Expert,Full-time,Data Engineer,102100,USD,102100,US,WFO,US,Medium
599,2022,Expert,Full-time,Data Architect,141300,USD,141300,US,WFO,US,Medium
600,2022,Expert,Full-time,Data Architect,102100,USD,102100,US,WFO,US,Medium
601,2022,Junior,Full-time,Data Analyst,50000,USD,50000,AR,WFH,AR,Big Enterprise
602,2022,Junior,Full-time,Data Scientist,80000,EUR,84229,BE,WFH,BE,Big Enterprise
603,2022,Expert,Full-time,Data Scientist,12500,BRL,2428,BR,WFH,BR,Big Enterprise
604,2022,Intermediate,Full-time,Lead Data Scientist,50000,GBP,61927,GB,Hybrid,GB,Startup
605,2022,Expert,Full-time,Data Architect,250000,USD,250000,US,WFO,US,Medium
606,2022,Expert,Full-time,Data Architect,63000,USD,63000,US,WFO,US,Medium
607,2022,Expert,Full-time,Data Science Manager,189500,USD,189500,US,WFH,US,Big Enterprise
608,2022,Expert,Full-time,Data Science Manager,140100,USD,140100,US,WFH,US,Big Enterprise
609,2022,Expert,Full-time,Data Engineer,177600,USD,177600,US,WFH,US,Big Enterprise
610,2022,Expert,Full-time,Data Engineer,131300,USD,131300,US,WFH,US,Big Enterprise
611,2022,Intermediate,Full-time,Data Engineer,24000,USD,24000,US,WFO,US,Medium
612,2022,Intermediate,Full-time,Data Engineer,24000,USD,24000,US,WFO,US,Medium
613,2022,Expert,Full-time,Data Engineer,250000,USD,250000,US,WFO,US,Medium
614,2022,Expert,Full-time,Data Engineer,63000,USD,63000,US,WFO,US,Medium
615,2022,Expert,Full-time,Machine Learning Engineer,202900,USD,202900,US,WFH,US,Big Enterprise
616,2022,Expert,Full-time,Machine Learning Engineer,131300,USD,131300,US,WFH,US,Big Enterprise
617,2022,Expert,Full-time,Data Engineer,145000,USD,145000,US,WFH,US,Medium
618,2022,Expert,Full-time,Data Engineer,115000,USD,115000,US,WFH,US,Medium
619,2022,Junior,Full-time,Machine Learning Engineer,115000,USD,115000,US,Hybrid,US,Big Enterprise
620,2022,Intermediate,Full-time,Machine Learning Engineer,193900,USD,193900,US,WFO,US,Medium
621,2022,Intermediate,Full-time,Machine Learning Engineer,129300,USD,129300,US,WFO,US,Medium
622,2022,Expert,Full-time,Data Scientist,180000,USD,180000,US,WFH,US,Big Enterprise
623,2022,Expert,Full-time,Data Scientist,140000,USD,140000,US,WFH,US,Big Enterprise
624,2022,Intermediate,Full-time,Data Analyst,216200,USD,216200,US,WFO,US,Medium
625,2022,Intermediate,Full-time,Data Analyst,144100,USD,144100,US,WFO,US,Medium
626,2022,Expert,Full-time,Machine Learning Scientist,216000,USD,216000,US,WFO,US,Medium
627,2022,Expert,Full-time,Machine Learning Scientist,144000,USD,144000,US,WFO,US,Medium
628,2022,Junior,Full-time,Data Analyst,150000,USD,150000,US,WFH,US,Big Enterprise
629,2021,Junior,Full-time,Machine Learning Research Engineer,900000,INR,12171,IN,WFH,IN,Medium
630,2022,Intermediate,Full-time,Data Scientist,4200000,INR,53877,IN,WFH,ID,Big Enterprise
631,2022,Junior,Full-time,Applied Data Scientist,50000,USD,50000,AT,Hybrid,AT,Medium
632,2021,Expert,Full-time,Cloud Data Architect,250000,USD,250000,US,Hybrid,US,Big Enterprise
633,2022,Director,Full-time,Research Scientist,80000,EUR,84229,NL,WFO,NL,Big Enterprise
634,2022,Intermediate,Full-time,Data Scientist,107000,GBP,132524,GB,WFH,GB,Medium
635,2022,Expert,Full-time,Analytics Engineer,48000,USD,48000,AR,WFH,US,Startup
636,2022,Director,Full-time,Data Science Manager,260500,USD,260500,US,WFO,US,Medium
637,2022,Director,Full-time,Data Science Manager,175100,USD,175100,US,WFO,US,Medium
638,2022,Expert,Full-time,Data Engineer,210000,USD,210000,US,WFH,US,Medium
639,2022,Expert,Full-time,Data Engineer,100000,USD,100000,US,WFH,US,Medium
640,2022,Junior,Full-time,Data Analyst,55000,USD,55000,US,WFH,US,Startup
641,2022,Intermediate,Full-time,Data Analyst,130000,USD,130000,US,WFH,US,Medium
642,2022,Expert,Full-time,Applied Machine Learning Scientist,73400,EUR,77280,FR,WFH,GB,Big Enterprise
643,2022,Junior,Full-time,Data Scientist,49500,EUR,52117,BE,Hybrid,BE,Startup
644,2022,Intermediate,Freelance,Applied Machine Learning Scientist,2400000,INR,30787,IN,WFH,IN,Startup
645,2022,Expert,Full-time,Data Engineer,206699,USD,206699,US,WFO,US,Medium
646,2022,Expert,Full-time,Data Engineer,99100,USD,99100,US,WFO,US,Medium
647,2022,Intermediate,Full-time,Analytics Engineer,200000,USD,200000,US,WFO,US,Medium
